standardize,l2norm,pca_dim,metric,algo,k,linkage,kmeans_init,kmeans_n_init,sil,dbi,ch,score,features_file,trial
False,True,,cosine,agglom,2,complete,k-means++,10,0.795997679233551,0.49240013611825667,113.39946891036729,1.692858201610963,features_anteojos_forma_autoencoder.csv,29
False,True,,cosine,agglom,4,average,k-means++,50,0.7253515124320984,0.15074735935659503,47.228223978462054,1.6888084337501947,features_anteojos_forma_autoencoder.csv,15
False,False,128.0,cosine,kmeans,2,complete,k-means++,10,0.7902016043663025,0.4903774681812029,107.67786422559787,1.676528292423027,features_anteojos_forma_autoencoder.csv,23
False,True,32.0,euclidean,agglom,3,complete,k-means++,10,0.7891175150871277,0.4637944830808813,68.6031542038788,1.609479834504899,features_anteojos_forma_autoencoder.csv,20
True,False,32.0,cosine,kmeans,2,ward,random,20,0.7632855772972107,0.7570234026721119,66.23477588695835,1.4648995118261792,features_anteojos_forma_autoencoder.csv,3
False,False,,euclidean,agglom,5,complete,random,10,0.42006516456604004,0.615887185001837,49.82433613279713,1.1385689210737087,features_anteojos_forma_autoencoder.csv,24
False,False,,euclidean,agglom,4,complete,k-means++,20,0.42186400294303894,0.85605279728659,61.06210666652442,1.082765993213212,features_anteojos_forma_autoencoder.csv,38
True,False,,euclidean,agglom,7,average,random,10,0.3590717315673828,0.6082235037729626,21.789964416679787,1.0244557800731364,features_anteojos_forma_autoencoder.csv,9
True,False,128.0,euclidean,agglom,7,average,k-means++,10,0.3590717315673828,0.6082235621305857,21.789965777136256,1.0244557602306377,features_anteojos_forma_autoencoder.csv,16
False,True,32.0,euclidean,agglom,9,average,random,50,0.28213927149772644,0.6230315446659972,44.181010126738485,0.9866322617785231,features_anteojos_forma_autoencoder.csv,8
False,False,64.0,cosine,kmeans,3,ward,k-means++,10,0.29708489775657654,1.0877081218194362,100.15781113680904,0.9763946809230021,features_anteojos_forma_autoencoder.csv,19
False,False,,cosine,kmeans,4,average,k-means++,50,0.2971416413784027,1.1424208664243176,89.89402765910036,0.9436913940231384,features_anteojos_forma_autoencoder.csv,14
False,False,,euclidean,kmeans,4,complete,random,10,0.2971416413784027,1.1424208664243176,89.89402765910036,0.9436913940231384,features_anteojos_forma_autoencoder.csv,37
False,False,,euclidean,kmeans,4,complete,random,10,0.2971416413784027,1.1424208664243176,89.89402765910036,0.9436913940231384,features_anteojos_forma_autoencoder.csv,44
False,False,32.0,cosine,kmeans,7,ward,k-means++,20,0.2852941155433655,1.0198181386584682,80.81333247042723,0.9420148589363446,features_anteojos_forma_autoencoder.csv,32
False,False,,euclidean,agglom,8,ward,random,50,0.2711336016654968,0.8880814509113117,65.56030053327756,0.9318923703637155,features_anteojos_forma_autoencoder.csv,5
True,False,32.0,cosine,kmeans,6,ward,k-means++,50,0.23425334692001343,0.9154646691397788,42.83711870417407,0.8419941179016969,features_anteojos_forma_autoencoder.csv,36
False,True,32.0,cosine,agglom,3,average,k-means++,20,0.28536689281463623,1.2506973311846503,46.78817480824162,0.8232499851212403,features_anteojos_forma_autoencoder.csv,4
False,True,32.0,cosine,agglom,2,complete,k-means++,50,0.2917177677154541,1.3903792079361925,35.59319373318508,0.7812478207725992,features_anteojos_forma_autoencoder.csv,28
True,False,32.0,euclidean,kmeans,7,average,k-means++,10,0.2003135234117508,1.019848419340768,40.97908674098892,0.7773583531124052,features_anteojos_forma_autoencoder.csv,42
False,True,,euclidean,agglom,6,ward,k-means++,10,0.19377529621124268,1.2475985679154769,68.08437654068047,0.7748633575156216,features_anteojos_forma_autoencoder.csv,6
True,False,32.0,cosine,kmeans,5,ward,k-means++,50,0.23276251554489136,1.2251796423776806,43.17242177748981,0.7685092774687923,features_anteojos_forma_autoencoder.csv,22
False,True,,euclidean,agglom,12,ward,random,50,0.1454268991947174,1.2566725277010908,57.56639090687227,0.7036899924403631,features_anteojos_forma_autoencoder.csv,12
False,True,64.0,cosine,agglom,3,average,k-means++,10,0.2494167983531952,1.5606150175817692,31.862597783572564,0.7036731722246816,features_anteojos_forma_autoencoder.csv,25
True,False,32.0,cosine,kmeans,12,average,k-means++,20,0.1556946486234665,1.2260455780605655,33.86043811895368,0.6726426250860001,features_anteojos_forma_autoencoder.csv,10
True,False,,euclidean,agglom,5,ward,k-means++,50,0.17699621617794037,1.3889103272806405,33.39350701060749,0.6623841247494027,features_anteojos_forma_autoencoder.csv,2
False,False,128.0,cosine,agglom,5,average,random,50,0.17126572132110596,1.547405654179545,25.86112410896426,0.615544215286269,features_anteojos_forma_autoencoder.csv,48
True,False,128.0,cosine,kmeans,10,ward,k-means++,50,0.13315880298614502,1.3394547202284224,26.483800152997162,0.6135764374190493,features_anteojos_forma_autoencoder.csv,13
True,True,32.0,euclidean,kmeans,9,average,k-means++,20,0.18589094281196594,1.5774181494241797,19.731776903032916,0.6133396592985265,features_anteojos_forma_autoencoder.csv,26
True,True,32.0,euclidean,agglom,11,ward,k-means++,50,0.1882794052362442,1.5744402227427556,17.92292265488744,0.6125592064661999,features_anteojos_forma_autoencoder.csv,30
True,True,32.0,euclidean,agglom,7,ward,k-means++,20,0.18711210787296295,1.7358381645621594,20.398323689122442,0.5934274518441545,features_anteojos_forma_autoencoder.csv,33
True,False,32.0,euclidean,kmeans,7,ward,random,10,0.14063076674938202,1.566040043014316,28.973937029062483,0.5882841727700185,features_anteojos_forma_autoencoder.csv,39
True,False,64.0,cosine,kmeans,11,complete,k-means++,20,0.10212733596563339,1.3301080943582244,27.38591434484302,0.5860638040217294,features_anteojos_forma_autoencoder.csv,45
False,False,128.0,cosine,agglom,10,average,k-means++,50,0.10046979784965515,1.252363852034907,14.091425882317717,0.5726306503696064,features_anteojos_forma_autoencoder.csv,50
True,True,64.0,cosine,kmeans,7,ward,k-means++,50,0.1740988790988922,1.8816902604385297,17.068106057832864,0.5552536496379126,features_anteojos_forma_autoencoder.csv,11
True,False,128.0,euclidean,kmeans,6,ward,random,50,0.11112343519926071,1.632386731343084,30.58014342979533,0.5521671138467231,features_anteojos_forma_autoencoder.csv,49
False,True,64.0,cosine,agglom,10,complete,k-means++,50,0.12660335004329681,1.5109261803807736,13.599845814584484,0.5520624599753778,features_anteojos_forma_autoencoder.csv,18
True,True,64.0,euclidean,agglom,4,complete,k-means++,50,0.16415522992610931,1.9012239766488275,20.347901409149785,0.5495331421053997,features_anteojos_forma_autoencoder.csv,1
True,True,64.0,euclidean,agglom,6,ward,k-means++,20,0.16734910011291504,1.9646853297644513,17.82942121292107,0.5403118681730678,features_anteojos_forma_autoencoder.csv,41
True,True,64.0,euclidean,agglom,6,complete,random,10,0.1694691926240921,1.9971418203833977,16.91636875077884,0.5369531418230926,features_anteojos_forma_autoencoder.csv,21
True,True,128.0,cosine,kmeans,3,average,random,50,0.16414526104927063,2.1262182509499694,24.558015045688652,0.5331365908565677,features_anteojos_forma_autoencoder.csv,43
False,True,128.0,cosine,agglom,12,complete,random,50,0.11593860387802124,1.5392117746265856,11.441405947335394,0.5326444162772714,features_anteojos_forma_autoencoder.csv,34
True,True,64.0,euclidean,agglom,10,ward,random,20,0.15170441567897797,1.8524143523840955,14.428183725611728,0.5311409851840101,features_anteojos_forma_autoencoder.csv,35
True,True,64.0,euclidean,agglom,5,ward,k-means++,20,0.15588994324207306,2.06607515946387,19.176215621267744,0.5203922397001953,features_anteojos_forma_autoencoder.csv,40
True,True,128.0,euclidean,kmeans,6,average,random,20,0.15648257732391357,2.0534102493514057,16.754032427448834,0.5174933091435325,features_anteojos_forma_autoencoder.csv,27
False,False,128.0,cosine,agglom,7,average,k-means++,50,0.046330515295267105,1.3462343452892525,17.552852075671165,0.5076511037388758,features_anteojos_forma_autoencoder.csv,7
False,True,64.0,cosine,agglom,6,complete,random,50,0.09689556062221527,1.76089554484928,14.005016060027009,0.4871069088571066,features_anteojos_forma_autoencoder.csv,47
True,True,,euclidean,agglom,10,ward,k-means++,50,0.12263981252908707,1.9823283381894878,12.943502991495626,0.4838353045680034,features_anteojos_forma_autoencoder.csv,17
True,False,64.0,cosine,agglom,12,complete,random,10,0.06001865118741989,1.9849680687140863,7.223008654974253,0.4094766274128272,features_anteojos_forma_autoencoder.csv,31
True,False,,cosine,agglom,10,complete,k-means++,20,0.06254586577415466,2.1058189368858025,8.094827303637325,0.40071179147812686,features_anteojos_forma_autoencoder.csv,46
